parish,category,numPOIs
"Aldoar, Foz do Douro e Nevogilde",hospital,2
"Aldoar, Foz do Douro e Nevogilde",police,3
Bonfim,hospital,1
Bonfim,police,3
Campanhã,police,5
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",fire,2
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",hospital,9
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",police,8
Lordelo do Ouro e Massarelos,hospital,1
Lordelo do Ouro e Massarelos,police,4
Paranhos,hospital,3
Paranhos,police,5
Ramalde,fire,2
Ramalde,hospital,2
Ramalde,police,1
