category,parish,lat,lon,name,address
bank,"Aldoar, Foz do Douro e Nevogilde",41.1482418,-8.6687172,Abanca,
bank,"Aldoar, Foz do Douro e Nevogilde",41.16339191395047,-8.663879316538624,Abanca,"Avenida da Boavista, Porto"
bank,"Aldoar, Foz do Douro e Nevogilde",41.1578991,-8.6798476,BBVA,
bank,"Aldoar, Foz do Douro e Nevogilde",41.1630886,-8.6640678,Banco BiG,
bank,"Aldoar, Foz do Douro e Nevogilde",41.1638487,-8.6630525,Bankinter,Porto
bank,"Aldoar, Foz do Douro e Nevogilde",41.1539287,-8.6738522,Bankinter,
bank,"Aldoar, Foz do Douro e Nevogilde",41.1582286,-8.6826958,Caixa Geral de Depósitos,
bank,"Aldoar, Foz do Douro e Nevogilde",41.1524554,-8.6774714,Millennium bcp,
bank,"Aldoar, Foz do Douro e Nevogilde",41.1523727,-8.6773185,Montepio,
bank,"Aldoar, Foz do Douro e Nevogilde",41.1630007,-8.6659809,Novo Banco,"Rua de Pedro Homem de Melo, Porto, 4150-000"
bank,"Aldoar, Foz do Douro e Nevogilde",41.1527679,-8.6765572,Novo Banco,"Rua de Diu, Porto, 4150-271"
bank,"Aldoar, Foz do Douro e Nevogilde",41.16336794360592,-8.663569959534858,Santander Totta,"Avenida da Boavista, Porto, 4100-138"
hospital,"Aldoar, Foz do Douro e Nevogilde",41.175942036234346,-8.669048197490522,Hospital da CUF,"Estrada da Circunvalação, Porto, 4100-180"
hospital,"Aldoar, Foz do Douro e Nevogilde",41.17749793160197,-8.665878181191903,Hospital de Magalhães Lemos,"Rua Professor Álvaro Rodrigues, Porto, 4149-003"
school,"Aldoar, Foz do Douro e Nevogilde",41.1719734,-8.6687252,Associação Portuguesa de Pais e Amigos do Cidadão Deficiente Mental do Porto,"Travessa de Costibela, Porto, 4100-186"
school,"Aldoar, Foz do Douro e Nevogilde",41.1544783,-8.6735991,CEBES - Centro de Estudo Basicos e Secundários,
school,"Aldoar, Foz do Douro e Nevogilde",41.172213000437715,-8.671579352889378,Centro de Educação e Formação Profissional Integrada - CEFPI,
school,"Aldoar, Foz do Douro e Nevogilde",41.15721547261071,-8.666396739370251,Colégio CEBES,"Rua Marcechal Gomes da Costa, Porto, 4150-359"
school,"Aldoar, Foz do Douro e Nevogilde",41.165905745626475,-8.684687495051008,Colégio INED - Polo I,"Rua do Marechal Saldanha, Porto, 4150-654"
school,"Aldoar, Foz do Douro e Nevogilde",41.167273678109765,-8.682158115406077,Colégio INED - Polo II,"Avenida da Boavista, Porto, 4100-125"
school,"Aldoar, Foz do Douro e Nevogilde",41.17340829121802,-8.67085900989596,Colégio Luso-Internacional do Porto,"Rua de Vila Nova, Porto, 4100-506"
school,"Aldoar, Foz do Douro e Nevogilde",41.16866947930448,-8.668979128508722,EB1/JI de António Aroso,
school,"Aldoar, Foz do Douro e Nevogilde",41.15190655022296,-8.670329030681543,Escola Básica de São João da Foz,"Rua de Henrique Moreira, Porto, 4150-397"
school,"Aldoar, Foz do Douro e Nevogilde",41.15930870234302,-8.679667730310575,"Escola Básica de São Miguel de Nevogilde, Porto","Rua da Escola, Porto, 4150-295"
