parish,category,numPOIs
"Aldoar, Foz do Douro e Nevogilde",bank,12
"Aldoar, Foz do Douro e Nevogilde",hospital,2
"Aldoar, Foz do Douro e Nevogilde",school,16
Bonfim,bank,10
Bonfim,hospital,1
Bonfim,school,22
Campanhã,bank,2
Campanhã,school,17
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",bank,51
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",hospital,9
"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",school,52
Lordelo do Ouro e Massarelos,bank,19
Lordelo do Ouro e Massarelos,hospital,1
Lordelo do Ouro e Massarelos,school,19
Paranhos,bank,7
Paranhos,hospital,3
Paranhos,school,24
Ramalde,bank,12
Ramalde,hospital,2
Ramalde,school,19
