parish,lat,lon,UNEED,RenewPot,EmgVuln,PriorInfra,HeatInfra,HeatLoad,SocEcon
"aldoar, foz do douro e nevogilde",41.16046,-8.68526,0.75126,0.99611,0.99433,0.25902,0.09674,0.84277,0.39123
"aldoar, foz do douro e nevogilde",41.16496,-8.68530,0.75136,0.99611,0.99611,0.25902,0.09674,0.83720,0.39123
"aldoar, foz do douro e nevogilde",41.16946,-8.68534,0.74968,0.99611,1.00000,0.25902,0.09674,0.80977,0.39123
"aldoar, foz do douro e nevogilde",41.15599,-8.67927,0.74213,0.99611,0.96992,0.25902,0.09674,0.85762,0.39123
"aldoar, foz do douro e nevogilde",41.16049,-8.67930,0.73917,0.99611,0.96946,0.25902,0.09674,0.83560,0.39123
"aldoar, foz do douro e nevogilde",41.16499,-8.67934,0.73929,0.99611,0.97156,0.25902,0.09674,0.82904,0.39123
"aldoar, foz do douro e nevogilde",41.16949,-8.67938,0.73980,0.99611,0.97610,0.25902,0.09674,0.81674,0.39123
"aldoar, foz do douro e nevogilde",41.14701,-8.67324,0.72792,0.99611,0.95334,0.25902,0.09674,0.80367,0.39123
"aldoar, foz do douro e nevogilde",41.15151,-8.67327,0.73018,0.99611,0.94702,0.25902,0.09674,0.84446,0.39123
"aldoar, foz do douro e nevogilde",41.15602,-8.67331,0.72695,0.99611,0.94349,0.25902,0.09674,0.83136,0.39123
"aldoar, foz do douro e nevogilde",41.16052,-8.67335,0.72666,0.99611,0.94294,0.25902,0.09674,0.83098,0.39123
"aldoar, foz do douro e nevogilde",41.16502,-8.67338,0.72777,0.99611,0.94541,0.25902,0.09674,0.83101,0.39123
"aldoar, foz do douro e nevogilde",41.16952,-8.67342,0.73039,0.99611,0.95077,0.25902,0.09674,0.83269,0.39123
"aldoar, foz do douro e nevogilde",41.14704,-8.66728,0.71743,0.99611,0.92702,0.25902,0.09674,0.81449,0.39123
"aldoar, foz do douro e nevogilde",41.15154,-8.66732,0.71912,0.99611,0.91951,0.25902,0.09674,0.85500,0.39123
"aldoar, foz do douro e nevogilde",41.15604,-8.66735,0.71846,0.99611,0.91529,0.25902,0.09674,0.86492,0.39123
"aldoar, foz do douro e nevogilde",41.16055,-8.66739,0.71996,0.99611,0.91464,0.25902,0.09674,0.87931,0.39123
"aldoar, foz do douro e nevogilde",41.16505,-8.66743,0.71907,0.99611,0.91760,0.25902,0.09674,0.86153,0.39123
"aldoar, foz do douro e nevogilde",41.16955,-8.66746,0.72288,0.99611,0.92397,0.25902,0.09674,0.86910,0.39123
"aldoar, foz do douro e nevogilde",41.17405,-8.66750,0.72759,0.99611,0.93336,0.25902,0.09674,0.87291,0.39123
lordelo do ouro e massarelos,41.14707,-8.66132,0.75431,0.96924,0.89940,0.26511,0.40543,0.82865,0.48731
lordelo do ouro e massarelos,41.15157,-8.66136,0.75360,0.96924,0.89040,0.26511,0.40543,0.85530,0.48731
lordelo do ouro e massarelos,41.15607,-8.66140,0.75395,0.96924,0.88530,0.26511,0.40543,0.87649,0.48731
lordelo do ouro e massarelos,41.16057,-8.66143,0.75163,0.96924,0.88451,0.26511,0.40543,0.86078,0.48731
ramalde,41.16507,-8.66147,0.79686,0.94131,0.88809,0.28210,0.57500,0.88409,0.66451
"aldoar, foz do douro e nevogilde",41.16958,-8.66151,0.70942,0.99611,0.89576,0.25902,0.09674,0.86291,0.39123
ramalde,41.17408,-8.66154,0.80475,0.94131,0.90693,0.28210,0.57500,0.87937,0.66451
lordelo do ouro e massarelos,41.14709,-8.65537,0.74161,0.96924,0.87069,0.26511,0.40543,0.83035,0.48731
lordelo do ouro e massarelos,41.15160,-8.65540,0.74431,0.96924,0.85982,0.26511,0.40543,0.89108,0.48731
lordelo do ouro e massarelos,41.15610,-8.65544,0.73670,0.96924,0.85360,0.26511,0.40543,0.85260,0.48731
