parish,lat,lon,UNEED
"aldoar, foz do douro e nevogilde",41.16046,-8.68526,0.75126
"aldoar, foz do douro e nevogilde",41.16496,-8.68530,0.75136
"aldoar, foz do douro e nevogilde",41.16946,-8.68534,0.74968
"aldoar, foz do douro e nevogilde",41.15599,-8.67927,0.74213
"aldoar, foz do douro e nevogilde",41.16049,-8.67930,0.73917
"aldoar, foz do douro e nevogilde",41.16499,-8.67934,0.73929
"aldoar, foz do douro e nevogilde",41.16949,-8.67938,0.73980
"aldoar, foz do douro e nevogilde",41.14701,-8.67324,0.72792
"aldoar, foz do douro e nevogilde",41.15151,-8.67327,0.73018
"aldoar, foz do douro e nevogilde",41.15602,-8.67331,0.72695
"aldoar, foz do douro e nevogilde",41.16052,-8.67335,0.72666
"aldoar, foz do douro e nevogilde",41.16502,-8.67338,0.72777
"aldoar, foz do douro e nevogilde",41.16952,-8.67342,0.73039
"aldoar, foz do douro e nevogilde",41.14704,-8.66728,0.71743
"aldoar, foz do douro e nevogilde",41.15154,-8.66732,0.71912
"aldoar, foz do douro e nevogilde",41.15604,-8.66735,0.71846
"aldoar, foz do douro e nevogilde",41.16055,-8.66739,0.71996
"aldoar, foz do douro e nevogilde",41.16505,-8.66743,0.71907
"aldoar, foz do douro e nevogilde",41.16955,-8.66746,0.72288
"aldoar, foz do douro e nevogilde",41.17405,-8.66750,0.72759
lordelo do ouro e massarelos,41.14707,-8.66132,0.75431
lordelo do ouro e massarelos,41.15157,-8.66136,0.75360
lordelo do ouro e massarelos,41.15607,-8.66140,0.75395
lordelo do ouro e massarelos,41.16057,-8.66143,0.75163
ramalde,41.16507,-8.66147,0.79686
"aldoar, foz do douro e nevogilde",41.16958,-8.66151,0.70942
ramalde,41.17408,-8.66154,0.80475
lordelo do ouro e massarelos,41.14709,-8.65537,0.74161
lordelo do ouro e massarelos,41.15160,-8.65540,0.74431
lordelo do ouro e massarelos,41.15610,-8.65544,0.73670
lordelo do ouro e massarelos,41.16060,-8.65548,0.74071
ramalde,41.16510,-8.65551,0.77966
ramalde,41.16960,-8.65555,0.78267
ramalde,41.17411,-8.65558,0.79273
lordelo do ouro e massarelos,41.14712,-8.64941,0.72790
lordelo do ouro e massarelos,41.15162,-8.64945,0.72621
lordelo do ouro e massarelos,41.15612,-8.64948,0.72218
lordelo do ouro e massarelos,41.16063,-8.64952,0.72081
ramalde,41.16513,-8.64955,0.76560
ramalde,41.16963,-8.64959,0.77098
ramalde,41.17413,-8.64963,0.77945
ramalde,41.17863,-8.64966,0.78990
lordelo do ouro e massarelos,41.14715,-8.64346,0.71461
lordelo do ouro e massarelos,41.15165,-8.64349,0.70922
lordelo do ouro e massarelos,41.15615,-8.64353,0.70808
ramalde,41.16065,-8.64356,0.75222
ramalde,41.16516,-8.64360,0.75209
ramalde,41.16966,-8.64363,0.75589
ramalde,41.17416,-8.64367,0.76521
ramalde,41.17866,-8.64370,0.77564
ramalde,41.18316,-8.64374,0.78796
lordelo do ouro e massarelos,41.15168,-8.63754,0.69932
lordelo do ouro e massarelos,41.15618,-8.63757,0.69241
lordelo do ouro e massarelos,41.16068,-8.63761,0.69409
ramalde,41.16518,-8.63764,0.73663
ramalde,41.16968,-8.63767,0.74522
ramalde,41.17419,-8.63771,0.75685
ramalde,41.17869,-8.63774,0.76534
lordelo do ouro e massarelos,41.14720,-8.63155,0.69563
lordelo do ouro e massarelos,41.15170,-8.63158,0.68662
lordelo do ouro e massarelos,41.15620,-8.63161,0.68024
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16071,-8.63165,0.71591
ramalde,41.16521,-8.63168,0.72708
ramalde,41.16971,-8.63172,0.74114
ramalde,41.17421,-8.63175,0.74228
ramalde,41.17871,-8.63178,0.75820
lordelo do ouro e massarelos,41.14723,-8.62559,0.69183
lordelo do ouro e massarelos,41.15173,-8.62562,0.67853
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15623,-8.62566,0.70900
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16073,-8.62569,0.70585
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16523,-8.62572,0.71122
ramalde,41.16974,-8.62576,0.72561
paranhos,41.17424,-8.62579,0.74623
ramalde,41.17874,-8.62583,0.75197
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14275,-8.61960,0.73858
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14725,-8.61963,0.73897
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15175,-8.61967,0.71479
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15625,-8.61970,0.70770
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16076,-8.61973,0.70417
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16526,-8.61977,0.70984
paranhos,41.16976,-8.61980,0.73287
paranhos,41.17426,-8.61983,0.74498
paranhos,41.17876,-8.61987,0.76377
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14277,-8.61365,0.73992
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14728,-8.61368,0.72834
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15178,-8.61371,0.71395
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15628,-8.61374,0.70458
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16078,-8.61378,0.70584
paranhos,41.16528,-8.61381,0.72723
paranhos,41.16979,-8.61384,0.73449
paranhos,41.17429,-8.61388,0.74760
paranhos,41.17879,-8.61391,0.76238
paranhos,41.18329,-8.61394,0.78081
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14280,-8.60769,0.74299
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14730,-8.60772,0.74064
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15180,-8.60775,0.72248
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15630,-8.60779,0.71333
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16081,-8.60782,0.71667
paranhos,41.16531,-8.60785,0.73394
paranhos,41.16981,-8.60788,0.74042
paranhos,41.17431,-8.60792,0.75782
paranhos,41.17881,-8.60795,0.77155
paranhos,41.18332,-8.60798,0.78468
bonfim,41.14282,-8.60173,0.74494
bonfim,41.14732,-8.60177,0.73726
bonfim,41.15183,-8.60180,0.72718
bonfim,41.15633,-8.60183,0.72019
bonfim,41.16083,-8.60186,0.72159
paranhos,41.16533,-8.60189,0.74559
paranhos,41.16983,-8.60193,0.75562
paranhos,41.17434,-8.60196,0.76356
paranhos,41.17884,-8.60199,0.77705
paranhos,41.18334,-8.60202,0.78856
bonfim,41.14285,-8.59578,0.75859
bonfim,41.14735,-8.59581,0.74712
bonfim,41.15185,-8.59584,0.74164
bonfim,41.15635,-8.59587,0.73904
bonfim,41.16085,-8.59591,0.73528
paranhos,41.16536,-8.59594,0.75833
paranhos,41.16986,-8.59597,0.76386
paranhos,41.17436,-8.59600,0.77170
paranhos,41.17886,-8.59603,0.79097
bonfim,41.14287,-8.58982,0.76401
bonfim,41.14737,-8.58985,0.76043
campanhã,41.15187,-8.58989,0.75322
campanhã,41.15638,-8.58992,0.74479
campanhã,41.16088,-8.58995,0.74696
bonfim,41.16538,-8.58998,0.75144
paranhos,41.16988,-8.59001,0.77562
paranhos,41.17438,-8.59004,0.78686
paranhos,41.17889,-8.59007,0.79481
campanhã,41.14289,-8.58387,0.77200
campanhã,41.14740,-8.58390,0.76865
campanhã,41.15190,-8.58393,0.76736
campanhã,41.15640,-8.58396,0.75833
campanhã,41.16090,-8.58399,0.76363
campanhã,41.16540,-8.58402,0.76122
campanhã,41.16991,-8.58405,0.76542
paranhos,41.17441,-8.58408,0.79913
paranhos,41.17891,-8.58411,0.80313
campanhã,41.14292,-8.57791,0.78241
campanhã,41.14742,-8.57794,0.77833
campanhã,41.15192,-8.57797,0.77376
campanhã,41.15642,-8.57800,0.77281
campanhã,41.16093,-8.57803,0.77282
campanhã,41.16543,-8.57806,0.77610
campanhã,41.16993,-8.57809,0.77677
campanhã,41.17443,-8.57813,0.78329
paranhos,41.17893,-8.57816,0.81208
campanhã,41.14294,-8.57196,0.79281
campanhã,41.14744,-8.57199,0.79439
campanhã,41.15194,-8.57202,0.78938
campanhã,41.15645,-8.57205,0.78530
campanhã,41.16095,-8.57208,0.78677
campanhã,41.16545,-8.57211,0.78963
campanhã,41.16995,-8.57214,0.79044
campanhã,41.17445,-8.57217,0.79143
paranhos,41.17896,-8.57220,0.82446
