parish,lat,lon,UNEED
"aldoar, foz do douro e nevogilde",41.16046,-8.68526,0.59830
"aldoar, foz do douro e nevogilde",41.16496,-8.68530,0.59767
"aldoar, foz do douro e nevogilde",41.16946,-8.68534,0.59376
"aldoar, foz do douro e nevogilde",41.15599,-8.67927,0.59671
"aldoar, foz do douro e nevogilde",41.16049,-8.67930,0.59298
"aldoar, foz do douro e nevogilde",41.16499,-8.67934,0.59224
"aldoar, foz do douro e nevogilde",41.16949,-8.67938,0.59095
"aldoar, foz do douro e nevogilde",41.14701,-8.67324,0.58500
"aldoar, foz do douro e nevogilde",41.15151,-8.67327,0.59072
"aldoar, foz do douro e nevogilde",41.15602,-8.67331,0.58796
"aldoar, foz do douro e nevogilde",41.16052,-8.67335,0.58781
"aldoar, foz do douro e nevogilde",41.16502,-8.67338,0.58822
"aldoar, foz do douro e nevogilde",41.16952,-8.67342,0.58939
"aldoar, foz do douro e nevogilde",41.14704,-8.66728,0.58243
"aldoar, foz do douro e nevogilde",41.15154,-8.66732,0.58791
"aldoar, foz do douro e nevogilde",41.15604,-8.66735,0.58885
"aldoar, foz do douro e nevogilde",41.16055,-8.66739,0.59113
"aldoar, foz do douro e nevogilde",41.16505,-8.66743,0.58867
"aldoar, foz do douro e nevogilde",41.16955,-8.66746,0.59099
"aldoar, foz do douro e nevogilde",41.17405,-8.66750,0.59318
lordelo do ouro e massarelos,41.14707,-8.66132,0.64383
lordelo do ouro e massarelos,41.15157,-8.66136,0.64676
lordelo do ouro e massarelos,41.15607,-8.66140,0.64943
lordelo do ouro e massarelos,41.16057,-8.66143,0.64669
ramalde,41.16507,-8.66147,0.70679
"aldoar, foz do douro e nevogilde",41.16958,-8.66151,0.58528
ramalde,41.17408,-8.66154,0.70914
lordelo do ouro e massarelos,41.14709,-8.65537,0.63935
lordelo do ouro e massarelos,41.15160,-8.65540,0.64762
lordelo do ouro e massarelos,41.15610,-8.65544,0.64020
lordelo do ouro e massarelos,41.16060,-8.65548,0.64596
ramalde,41.16510,-8.65551,0.69737
ramalde,41.16960,-8.65555,0.69734
ramalde,41.17411,-8.65558,0.70492
lordelo do ouro e massarelos,41.14712,-8.64941,0.63379
lordelo do ouro e massarelos,41.15162,-8.64945,0.63724
lordelo do ouro e massarelos,41.15612,-8.64948,0.63520
lordelo do ouro e massarelos,41.16063,-8.64952,0.63389
ramalde,41.16513,-8.64955,0.69262
ramalde,41.16963,-8.64959,0.69487
ramalde,41.17413,-8.64963,0.69917
ramalde,41.17863,-8.64966,0.70464
lordelo do ouro e massarelos,41.14715,-8.64346,0.62864
lordelo do ouro e massarelos,41.15165,-8.64349,0.62841
lordelo do ouro e massarelos,41.15615,-8.64353,0.63097
ramalde,41.16065,-8.64356,0.69180
ramalde,41.16516,-8.64360,0.68875
ramalde,41.16966,-8.64363,0.68780
ramalde,41.17416,-8.64367,0.69185
ramalde,41.17866,-8.64370,0.69583
ramalde,41.18316,-8.64374,0.70151
lordelo do ouro e massarelos,41.15168,-8.63754,0.62836
lordelo do ouro e massarelos,41.15618,-8.63757,0.62415
lordelo do ouro e massarelos,41.16068,-8.63761,0.62716
ramalde,41.16518,-8.63764,0.68171
ramalde,41.16968,-8.63767,0.68588
ramalde,41.17419,-8.63771,0.69144
ramalde,41.17869,-8.63774,0.69131
lordelo do ouro e massarelos,41.14720,-8.63155,0.62506
lordelo do ouro e massarelos,41.15170,-8.63158,0.62281
lordelo do ouro e massarelos,41.15620,-8.63161,0.62024
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16071,-8.63165,0.74170
ramalde,41.16521,-8.63168,0.68076
ramalde,41.16971,-8.63172,0.69089
ramalde,41.17421,-8.63175,0.68102
ramalde,41.17871,-8.63178,0.68928
lordelo do ouro e massarelos,41.14723,-8.62559,0.62689
lordelo do ouro e massarelos,41.15173,-8.62562,0.62008
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15623,-8.62566,0.74038
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16073,-8.62569,0.73727
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16523,-8.62572,0.73961
ramalde,41.16974,-8.62576,0.67758
paranhos,41.17424,-8.62579,0.69867
ramalde,41.17874,-8.62583,0.68601
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14275,-8.61960,0.75110
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14725,-8.61963,0.76537
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15175,-8.61967,0.74460
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15625,-8.61970,0.74222
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16076,-8.61973,0.73868
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16526,-8.61977,0.74114
paranhos,41.16976,-8.61980,0.69641
paranhos,41.17426,-8.61983,0.69941
paranhos,41.17876,-8.61987,0.70992
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14277,-8.61365,0.75130
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14728,-8.61368,0.74931
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15178,-8.61371,0.74120
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15628,-8.61374,0.73554
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16078,-8.61378,0.73831
paranhos,41.16528,-8.61381,0.69656
paranhos,41.16979,-8.61384,0.69650
paranhos,41.17429,-8.61388,0.70118
paranhos,41.17879,-8.61391,0.70669
paranhos,41.18329,-8.61394,0.71673
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14280,-8.60769,0.75022
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14730,-8.60772,0.75940
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15180,-8.60775,0.74525
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15630,-8.60779,0.73916
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16081,-8.60782,0.74456
paranhos,41.16531,-8.60785,0.69787
paranhos,41.16981,-8.60788,0.69774
paranhos,41.17431,-8.60792,0.70923
paranhos,41.17881,-8.60795,0.71434
paranhos,41.18332,-8.60798,0.71820
bonfim,41.14282,-8.60173,0.67051
bonfim,41.14732,-8.60177,0.67113
bonfim,41.15183,-8.60180,0.66630
bonfim,41.15633,-8.60183,0.66215
bonfim,41.16083,-8.60186,0.66481
paranhos,41.16533,-8.60189,0.70208
paranhos,41.16983,-8.60193,0.70793
paranhos,41.17434,-8.60196,0.70833
paranhos,41.17884,-8.60199,0.71456
paranhos,41.18334,-8.60202,0.71750
bonfim,41.14285,-8.59578,0.67873
bonfim,41.14735,-8.59581,0.67274
bonfim,41.15185,-8.59584,0.67261
bonfim,41.15635,-8.59587,0.67338
bonfim,41.16085,-8.59591,0.66904
paranhos,41.16536,-8.59594,0.70571
paranhos,41.16986,-8.59597,0.70686
paranhos,41.17436,-8.59600,0.70868
paranhos,41.17886,-8.59603,0.72413
bonfim,41.14287,-8.58982,0.67497
bonfim,41.14737,-8.58985,0.67800
campanhã,41.15187,-8.58989,0.66270
campanhã,41.15638,-8.58992,0.65493
campanhã,41.16088,-8.58995,0.65834
bonfim,41.16538,-8.58998,0.67349
paranhos,41.16988,-8.59001,0.70956
paranhos,41.17438,-8.59004,0.71732
paranhos,41.17889,-8.59007,0.71923
campanhã,41.14289,-8.58387,0.66259
campanhã,41.14740,-8.58390,0.66464
campanhã,41.15190,-8.58393,0.66779
campanhã,41.15640,-8.58396,0.65857
campanhã,41.16090,-8.58399,0.66604
campanhã,41.16540,-8.58402,0.66087
campanhã,41.16991,-8.58405,0.66230
paranhos,41.17441,-8.58408,0.72175
paranhos,41.17891,-8.58411,0.71974
campanhã,41.14292,-8.57791,0.66501
campanhã,41.14742,-8.57794,0.66505
campanhã,41.15192,-8.57797,0.66298
campanhã,41.15642,-8.57800,0.66400
campanhã,41.16093,-8.57803,0.66437
campanhã,41.16543,-8.57806,0.66711
campanhã,41.16993,-8.57809,0.66459
campanhã,41.17443,-8.57813,0.66828
paranhos,41.17893,-8.57816,0.72096
campanhã,41.14294,-8.57196,0.66767
campanhã,41.14744,-8.57199,0.67437
campanhã,41.15194,-8.57202,0.67105
campanhã,41.15645,-8.57205,0.66750
campanhã,41.16095,-8.57208,0.66975
campanhã,41.16545,-8.57211,0.67223
campanhã,41.16995,-8.57214,0.67046
campanhã,41.17445,-8.57217,0.66761
paranhos,41.17896,-8.57220,0.72684
campanhã,41.14746,-8.56603,0.67256
campanhã,41.15197,-8.56606,0.68658
campanhã,41.15647,-8.56609,0.67190
campanhã,41.16097,-8.56612,0.67424
campanhã,41.16547,-8.56615,0.67075
campanhã,41.15199,-8.56010,0.67561
campanhã,41.15649,-8.56013,0.67312
