parish,lat,lon,UNEED
"aldoar, foz do douro e nevogilde",41.16046,-8.68526,0.45954
"aldoar, foz do douro e nevogilde",41.16496,-8.68530,0.45907
"aldoar, foz do douro e nevogilde",41.16946,-8.68534,0.45612
"aldoar, foz do douro e nevogilde",41.15599,-8.67927,0.45834
"aldoar, foz do douro e nevogilde",41.16049,-8.67930,0.45553
"aldoar, foz do douro e nevogilde",41.16499,-8.67934,0.45498
"aldoar, foz do douro e nevogilde",41.16949,-8.67938,0.45401
"aldoar, foz do douro e nevogilde",41.14701,-8.67324,0.44953
"aldoar, foz do douro e nevogilde",41.15151,-8.67327,0.45384
"aldoar, foz do douro e nevogilde",41.15602,-8.67331,0.45176
"aldoar, foz do douro e nevogilde",41.16052,-8.67335,0.45164
"aldoar, foz do douro e nevogilde",41.16502,-8.67338,0.45195
"aldoar, foz do douro e nevogilde",41.16952,-8.67342,0.45283
"aldoar, foz do douro e nevogilde",41.14704,-8.66728,0.44759
"aldoar, foz do douro e nevogilde",41.15154,-8.66732,0.45172
"aldoar, foz do douro e nevogilde",41.15604,-8.66735,0.45243
"aldoar, foz do douro e nevogilde",41.16055,-8.66739,0.45415
"aldoar, foz do douro e nevogilde",41.16505,-8.66743,0.45229
"aldoar, foz do douro e nevogilde",41.16955,-8.66746,0.45404
"aldoar, foz do douro e nevogilde",41.17405,-8.66750,0.45569
lordelo do ouro e massarelos,41.14707,-8.66132,0.59377
lordelo do ouro e massarelos,41.15157,-8.66136,0.59598
lordelo do ouro e massarelos,41.15607,-8.66140,0.59799
lordelo do ouro e massarelos,41.16057,-8.66143,0.59593
ramalde,41.16507,-8.66147,0.69511
"aldoar, foz do douro e nevogilde",41.16958,-8.66151,0.44974
ramalde,41.17408,-8.66154,0.69687
lordelo do ouro e massarelos,41.14709,-8.65537,0.59040
lordelo do ouro e massarelos,41.15160,-8.65540,0.59663
lordelo do ouro e massarelos,41.15610,-8.65544,0.59104
lordelo do ouro e massarelos,41.16060,-8.65548,0.59537
ramalde,41.16510,-8.65551,0.68801
ramalde,41.16960,-8.65555,0.68799
ramalde,41.17411,-8.65558,0.69370
lordelo do ouro e massarelos,41.14712,-8.64941,0.58621
lordelo do ouro e massarelos,41.15162,-8.64945,0.58882
lordelo do ouro e massarelos,41.15612,-8.64948,0.58727
lordelo do ouro e massarelos,41.16063,-8.64952,0.58629
ramalde,41.16513,-8.64955,0.68443
ramalde,41.16963,-8.64959,0.68613
ramalde,41.17413,-8.64963,0.68936
ramalde,41.17863,-8.64966,0.69348
lordelo do ouro e massarelos,41.14715,-8.64346,0.58234
lordelo do ouro e massarelos,41.15165,-8.64349,0.58216
lordelo do ouro e massarelos,41.15615,-8.64353,0.58409
ramalde,41.16065,-8.64356,0.68382
ramalde,41.16516,-8.64360,0.68152
ramalde,41.16966,-8.64363,0.68081
ramalde,41.17416,-8.64367,0.68386
ramalde,41.17866,-8.64370,0.68685
ramalde,41.18316,-8.64374,0.69113
lordelo do ouro e massarelos,41.15168,-8.63754,0.58213
lordelo do ouro e massarelos,41.15618,-8.63757,0.57895
lordelo do ouro e massarelos,41.16068,-8.63761,0.58122
ramalde,41.16518,-8.63764,0.67622
ramalde,41.16968,-8.63767,0.67936
ramalde,41.17419,-8.63771,0.68355
ramalde,41.17869,-8.63774,0.68344
lordelo do ouro e massarelos,41.14720,-8.63155,0.57964
lordelo do ouro e massarelos,41.15170,-8.63158,0.57795
lordelo do ouro e massarelos,41.15620,-8.63161,0.57601
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16071,-8.63165,0.53715
ramalde,41.16521,-8.63168,0.67550
ramalde,41.16971,-8.63172,0.68313
ramalde,41.17421,-8.63175,0.67570
ramalde,41.17871,-8.63178,0.68192
lordelo do ouro e massarelos,41.14723,-8.62559,0.58102
lordelo do ouro e massarelos,41.15173,-8.62562,0.57589
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15623,-8.62566,0.53616
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16073,-8.62569,0.53382
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16523,-8.62572,0.53558
ramalde,41.16974,-8.62576,0.67311
paranhos,41.17424,-8.62579,0.68744
ramalde,41.17874,-8.62583,0.67946
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14275,-8.61960,0.54423
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14725,-8.61963,0.55498
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15175,-8.61967,0.53933
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15625,-8.61970,0.53754
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16076,-8.61973,0.53488
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16526,-8.61977,0.53673
paranhos,41.16976,-8.61980,0.68574
paranhos,41.17426,-8.61983,0.68800
paranhos,41.17876,-8.61987,0.69591
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14277,-8.61365,0.54438
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14728,-8.61368,0.54288
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15178,-8.61371,0.53677
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15628,-8.61374,0.53251
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16078,-8.61378,0.53460
paranhos,41.16528,-8.61381,0.68585
paranhos,41.16979,-8.61384,0.68580
paranhos,41.17429,-8.61388,0.68933
paranhos,41.17879,-8.61391,0.69348
paranhos,41.18329,-8.61394,0.70104
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14280,-8.60769,0.54357
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14730,-8.60772,0.55048
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15180,-8.60775,0.53982
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15630,-8.60779,0.53524
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16081,-8.60782,0.53931
paranhos,41.16531,-8.60785,0.68684
paranhos,41.16981,-8.60788,0.68674
paranhos,41.17431,-8.60792,0.69539
paranhos,41.17881,-8.60795,0.69924
paranhos,41.18332,-8.60798,0.70214
bonfim,41.14282,-8.60173,0.62994
bonfim,41.14732,-8.60177,0.63041
bonfim,41.15183,-8.60180,0.62677
bonfim,41.15633,-8.60183,0.62365
bonfim,41.16083,-8.60186,0.62565
paranhos,41.16533,-8.60189,0.69001
paranhos,41.16983,-8.60193,0.69441
paranhos,41.17434,-8.60196,0.69471
paranhos,41.17884,-8.60199,0.69940
paranhos,41.18334,-8.60202,0.70162
bonfim,41.14285,-8.59578,0.63614
bonfim,41.14735,-8.59581,0.63162
bonfim,41.15185,-8.59584,0.63153
bonfim,41.15635,-8.59587,0.63210
bonfim,41.16085,-8.59591,0.62884
paranhos,41.16536,-8.59594,0.69274
paranhos,41.16986,-8.59597,0.69361
paranhos,41.17436,-8.59600,0.69498
paranhos,41.17886,-8.59603,0.70661
bonfim,41.14287,-8.58982,0.63330
bonfim,41.14737,-8.58985,0.63559
campanhã,41.15187,-8.58989,0.69215
campanhã,41.15638,-8.58992,0.68630
campanhã,41.16088,-8.58995,0.68887
bonfim,41.16538,-8.58998,0.63219
paranhos,41.16988,-8.59001,0.69564
paranhos,41.17438,-8.59004,0.70148
paranhos,41.17889,-8.59007,0.70292
campanhã,41.14289,-8.58387,0.69207
campanhã,41.14740,-8.58390,0.69362
campanhã,41.15190,-8.58393,0.69598
campanhã,41.15640,-8.58396,0.68904
campanhã,41.16090,-8.58399,0.69467
campanhã,41.16540,-8.58402,0.69078
campanhã,41.16991,-8.58405,0.69185
paranhos,41.17441,-8.58408,0.70482
paranhos,41.17891,-8.58411,0.70330
campanhã,41.14292,-8.57791,0.69389
campanhã,41.14742,-8.57794,0.69392
campanhã,41.15192,-8.57797,0.69237
campanhã,41.15642,-8.57800,0.69313
campanhã,41.16093,-8.57803,0.69341
campanhã,41.16543,-8.57806,0.69548
campanhã,41.16993,-8.57809,0.69357
campanhã,41.17443,-8.57813,0.69635
paranhos,41.17893,-8.57816,0.70422
campanhã,41.14294,-8.57196,0.69590
campanhã,41.14744,-8.57199,0.70094
campanhã,41.15194,-8.57202,0.69844
campanhã,41.15645,-8.57205,0.69577
campanhã,41.16095,-8.57208,0.69746
campanhã,41.16545,-8.57211,0.69933
campanhã,41.16995,-8.57214,0.69800
campanhã,41.17445,-8.57217,0.69585
paranhos,41.17896,-8.57220,0.70865
campanhã,41.14746,-8.56603,0.69958
campanhã,41.15197,-8.56606,0.71013
campanhã,41.15647,-8.56609,0.69908
campanhã,41.16097,-8.56612,0.70085
campanhã,41.16547,-8.56615,0.69822
campanhã,41.15199,-8.56010,0.70188
campanhã,41.15649,-8.56013,0.70000
