parish,lat,lon,EmgVuln
"aldoar, foz do douro e nevogilde",41.16046,-8.68526,0.99433
"aldoar, foz do douro e nevogilde",41.16496,-8.68530,0.99611
"aldoar, foz do douro e nevogilde",41.16946,-8.68534,1.00000
"aldoar, foz do douro e nevogilde",41.15599,-8.67927,0.96992
"aldoar, foz do douro e nevogilde",41.16049,-8.67930,0.96946
"aldoar, foz do douro e nevogilde",41.16499,-8.67934,0.97156
"aldoar, foz do douro e nevogilde",41.16949,-8.67938,0.97610
"aldoar, foz do douro e nevogilde",41.14701,-8.67324,0.95334
"aldoar, foz do douro e nevogilde",41.15151,-8.67327,0.94702
"aldoar, foz do douro e nevogilde",41.15602,-8.67331,0.94349
"aldoar, foz do douro e nevogilde",41.16052,-8.67335,0.94294
"aldoar, foz do douro e nevogilde",41.16502,-8.67338,0.94541
"aldoar, foz do douro e nevogilde",41.16952,-8.67342,0.95077
"aldoar, foz do douro e nevogilde",41.14704,-8.66728,0.92702
"aldoar, foz do douro e nevogilde",41.15154,-8.66732,0.91951
"aldoar, foz do douro e nevogilde",41.15604,-8.66735,0.91529
"aldoar, foz do douro e nevogilde",41.16055,-8.66739,0.91464
"aldoar, foz do douro e nevogilde",41.16505,-8.66743,0.91760
"aldoar, foz do douro e nevogilde",41.16955,-8.66746,0.92397
"aldoar, foz do douro e nevogilde",41.17405,-8.66750,0.93336
lordelo do ouro e massarelos,41.14707,-8.66132,0.89940
lordelo do ouro e massarelos,41.15157,-8.66136,0.89040
lordelo do ouro e massarelos,41.15607,-8.66140,0.88530
lordelo do ouro e massarelos,41.16057,-8.66143,0.88451
ramalde,41.16507,-8.66147,0.88809
"aldoar, foz do douro e nevogilde",41.16958,-8.66151,0.89576
ramalde,41.17408,-8.66154,0.90693
lordelo do ouro e massarelos,41.14709,-8.65537,0.87069
lordelo do ouro e massarelos,41.15160,-8.65540,0.85982
lordelo do ouro e massarelos,41.15610,-8.65544,0.85360
lordelo do ouro e massarelos,41.16060,-8.65548,0.85263
ramalde,41.16510,-8.65551,0.85701
ramalde,41.16960,-8.65555,0.86631
ramalde,41.17411,-8.65558,0.87970
lordelo do ouro e massarelos,41.14712,-8.64941,0.84139
lordelo do ouro e massarelos,41.15162,-8.64945,0.82818
lordelo do ouro e massarelos,41.15612,-8.64948,0.82054
lordelo do ouro e massarelos,41.16063,-8.64952,0.81934
ramalde,41.16513,-8.64955,0.82474
ramalde,41.16963,-8.64959,0.83609
ramalde,41.17413,-8.64963,0.85219
ramalde,41.17863,-8.64966,0.87166
lordelo do ouro e massarelos,41.14715,-8.64346,0.81241
lordelo do ouro e massarelos,41.15165,-8.64349,0.79637
lordelo do ouro e massarelos,41.15615,-8.64353,0.78695
ramalde,41.16065,-8.64356,0.78547
ramalde,41.16516,-8.64360,0.79215
ramalde,41.16966,-8.64363,0.80601
ramalde,41.17416,-8.64367,0.82532
ramalde,41.17866,-8.64370,0.84818
ramalde,41.18316,-8.64374,0.87295
lordelo do ouro e massarelos,41.15168,-8.63754,0.76603
lordelo do ouro e massarelos,41.15618,-8.63757,0.75452
lordelo do ouro e massarelos,41.16068,-8.63761,0.75270
ramalde,41.16518,-8.63764,0.76089
ramalde,41.16968,-8.63767,0.77766
ramalde,41.17419,-8.63771,0.80054
ramalde,41.17869,-8.63774,0.82700
lordelo do ouro e massarelos,41.14720,-8.63155,0.76234
lordelo do ouro e massarelos,41.15170,-8.63158,0.73980
lordelo do ouro e massarelos,41.15620,-8.63161,0.72611
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16071,-8.63165,0.72392
ramalde,41.16521,-8.63168,0.73371
ramalde,41.16971,-8.63172,0.75347
ramalde,41.17421,-8.63175,0.77987
ramalde,41.17871,-8.63178,0.80973
lordelo do ouro e massarelos,41.14723,-8.62559,0.74639
lordelo do ouro e massarelos,41.15173,-8.62562,0.72123
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15623,-8.62566,0.70573
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16073,-8.62569,0.70323
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.16523,-8.62572,0.71436
ramalde,41.16974,-8.62576,0.73654
paranhos,41.17424,-8.62579,0.76569
ramalde,41.17874,-8.62583,0.79811
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14275,-8.61960,0.77189
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.14725,-8.61963,0.74006
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15175,-8.61967,0.71377
"cedofeita, santo ildefonso, sé, miragaia, são nicolau e vitória",41.15625,-8.61970,0.69747
