parish,lat,lon,HeatLoad
"aldoar, foz do douro e nevogilde",41.16046,-8.68526,0.84277
"aldoar, foz do douro e nevogilde",41.16496,-8.68530,0.83720
"aldoar, foz do douro e nevogilde",41.16946,-8.68534,0.80977
"aldoar, foz do douro e nevogilde",41.15599,-8.67927,0.85762
"aldoar, foz do douro e nevogilde",41.16049,-8.67930,0.83560
"aldoar, foz do douro e nevogilde",41.16499,-8.67934,0.82904
"aldoar, foz do douro e nevogilde",41.16949,-8.67938,0.81674
"aldoar, foz do douro e nevogilde",41.14701,-8.67324,0.80367
"aldoar, foz do douro e nevogilde",41.15151,-8.67327,0.84446
"aldoar, foz do douro e nevogilde",41.15602,-8.67331,0.83136
"aldoar, foz do douro e nevogilde",41.16052,-8.67335,0.83098
"aldoar, foz do douro e nevogilde",41.16502,-8.67338,0.83101
"aldoar, foz do douro e nevogilde",41.16952,-8.67342,0.83269
"aldoar, foz do douro e nevogilde",41.14704,-8.66728,0.81449
"aldoar, foz do douro e nevogilde",41.15154,-8.66732,0.85500
"aldoar, foz do douro e nevogilde",41.15604,-8.66735,0.86492
"aldoar, foz do douro e nevogilde",41.16055,-8.66739,0.87931
"aldoar, foz do douro e nevogilde",41.16505,-8.66743,0.86153
"aldoar, foz do douro e nevogilde",41.16955,-8.66746,0.86910
"aldoar, foz do douro e nevogilde",41.17405,-8.66750,0.87291
lordelo do ouro e massarelos,41.14707,-8.66132,0.82865
lordelo do ouro e massarelos,41.15157,-8.66136,0.85530
lordelo do ouro e massarelos,41.15607,-8.66140,0.87649
lordelo do ouro e massarelos,41.16057,-8.66143,0.86078
ramalde,41.16507,-8.66147,0.88409
"aldoar, foz do douro e nevogilde",41.16958,-8.66151,0.86291
ramalde,41.17408,-8.66154,0.87937
lordelo do ouro e massarelos,41.14709,-8.65537,0.83035
lordelo do ouro e massarelos,41.15160,-8.65540,0.89108
lordelo do ouro e massarelos,41.15610,-8.65544,0.85260
lordelo do ouro e massarelos,41.16060,-8.65548,0.88822
ramalde,41.16510,-8.65551,0.85841
ramalde,41.16960,-8.65555,0.84896
ramalde,41.17411,-8.65558,0.88123
lordelo do ouro e massarelos,41.14712,-8.64941,0.82618
lordelo do ouro e massarelos,41.15162,-8.64945,0.86020
lordelo do ouro e massarelos,41.15612,-8.64948,0.85550
lordelo do ouro e massarelos,41.16063,-8.64952,0.84883
ramalde,41.16513,-8.64955,0.86207
ramalde,41.16963,-8.64959,0.86427
ramalde,41.17413,-8.64963,0.87407
ramalde,41.17863,-8.64966,0.88756
lordelo do ouro e massarelos,41.14715,-8.64346,0.82416
