classification,parish,lat,lon,area_m2,HDD,CDD,E_Heating,E_Cooling
New building,Campanhã,41.163712019759885,-8.569438828159544,805.71,969.45,221.98,3172450.24,590210.08
New building,Campanhã,41.16328446477969,-8.569929892137438,828.85,969.45,221.98,3263552.42,607158.94
New building,Campanhã,41.16332552294677,-8.569430712705218,805.73,969.45,221.98,3172523.53,590223.71
Old building,Campanhã,41.17155042337559,-8.58040262592759,2641.18,969.45,221.98,140461250.59,28141874.11
New building,Campanhã,41.16373182496242,-8.569942492565037,829.17,969.45,221.98,3264828.38,607396.32
New building,Paranhos,41.17705106340633,-8.582422264536667,476.92,969.45,221.98,1877859.48,349361.38
Old building,Lordelo do Ouro e Massarelos,41.15219588687234,-8.640900621079174,3457.2,969.45,221.98,183858164.56,36836588.73
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14522296447771,-8.617903829514464,3677.71,969.45,221.98,195585398.71,39186178.71
Commercial building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.160367856624255,-8.630493920928084,1815.25,969.45,221.98,25990812.59,4835391.69
New building,Bonfim,41.14821972088111,-8.594373553448248,7143.2,969.45,221.98,28126041.22,5232634.62
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.142001419894584,-8.611627160325789,1957.51,969.45,221.98,7707596.26,1433939.27
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.1426397740639,-8.609166457140411,2665.7,969.45,221.98,141765144.09,28403113.47
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.140742047359204,-8.614278516374622,1534.77,969.45,221.98,81620905.23,16353017.15
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14184223721812,-8.617478298612049,2183.18,969.45,221.98,116104042.71,23261827.3
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14361498188031,-8.615628244517735,437.0,969.45,221.98,23240341.6,4656278.97
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14478926170414,-8.622142132858253,1534.89,969.45,221.98,81627316.76,16354301.72
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14562843492004,-8.620921738175474,141.86,969.45,221.98,558585.0,103920.46
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.1446022732054,-8.615870828026187,2239.55,969.45,221.98,119102246.27,23862527.26
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14705632474636,-8.619291294802878,1823.18,969.45,221.98,96959095.63,19426074.11
New building,Bonfim,41.14337639667368,-8.60129153695582,2191.71,969.45,221.98,8629773.93,1605503.37
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.144796927477174,-8.602176174161722,2857.35,969.45,221.98,151957495.2,30445184.58
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14770911911373,-8.604663752355373,227.06,969.45,221.98,894053.39,166331.79
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14796030443564,-8.610519459445229,712.87,969.45,221.98,37911343.95,7595662.61
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15003925639127,-8.610675667915617,2251.03,969.45,221.98,119712622.25,23984818.09
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14877445904939,-8.61189334539254,653.19,969.45,221.98,34737241.29,6959720.69
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.15023366110294,-8.611305819214985,1518.65,969.45,221.98,80763552.77,16181243.76
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14935892792975,-8.607137663331322,4917.65,969.45,221.98,261526817.19,52397759.06
Old building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14648458286325,-8.615769315143922,4412.2,969.45,221.98,234646442.04,47012187.38
New building,"Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",41.14979456229489,-8.612307176647825,280.99,969.45,221.98,1106394.4,205836.21
