LAT,LON,YEAR,MO,DY,T2M
37.0,-9.375,2024,1,1,17.44
37.0,-8.75,2024,1,1,16.37
37.0,-8.125,2024,1,1,15.37
37.0,-7.5,2024,1,1,15.98
37.0,-6.875,2024,1,1,15.02
37.0,-6.25,2024,1,1,13.21
37.5,-9.375,2024,1,1,16.72
37.5,-8.75,2024,1,1,13.77
37.5,-8.125,2024,1,1,11.68
37.5,-7.5,2024,1,1,12.21
37.5,-6.875,2024,1,1,11.88
37.5,-6.25,2024,1,1,11.19
38.0,-9.375,2024,1,1,16.06
38.0,-8.75,2024,1,1,13.53
38.0,-8.125,2024,1,1,12.04
38.0,-7.5,2024,1,1,11.89
38.0,-6.875,2024,1,1,10.9
38.0,-6.25,2024,1,1,9.3
38.5,-9.375,2024,1,1,14.29
38.5,-8.75,2024,1,1,12.14
38.5,-8.125,2024,1,1,10.78
38.5,-7.5,2024,1,1,10.37
38.5,-6.875,2024,1,1,9.82
38.5,-6.25,2024,1,1,8.4
39.0,-9.375,2024,1,1,12.52
39.0,-8.75,2024,1,1,10.45
39.0,-8.125,2024,1,1,9.48
39.0,-7.5,2024,1,1,8.15
39.0,-6.875,2024,1,1,7.89
39.0,-6.25,2024,1,1,7.5
39.5,-9.375,2024,1,1,13.44
39.5,-8.75,2024,1,1,9.81
39.5,-8.125,2024,1,1,8.29
39.5,-7.5,2024,1,1,7.21
39.5,-6.875,2024,1,1,6.78
39.5,-6.25,2024,1,1,6.21
40.0,-9.375,2024,1,1,14.58
40.0,-8.75,2024,1,1,10.0
40.0,-8.125,2024,1,1,6.65
40.0,-7.5,2024,1,1,5.85
40.0,-6.875,2024,1,1,5.63
40.0,-6.25,2024,1,1,5.94
40.5,-9.375,2024,1,1,14.89
40.5,-8.75,2024,1,1,10.76
40.5,-8.125,2024,1,1,7.07
40.5,-7.5,2024,1,1,5.0
40.5,-6.875,2024,1,1,3.88
40.5,-6.25,2024,1,1,3.32
41.0,-9.375,2024,1,1,14.89
41.0,-8.75,2024,1,1,11.63
41.0,-8.125,2024,1,1,6.35
41.0,-7.5,2024,1,1,4.33
41.0,-6.875,2024,1,1,4.88
41.0,-6.25,2024,1,1,3.46
41.5,-9.375,2024,1,1,14.72
41.5,-8.75,2024,1,1,11.02
41.5,-8.125,2024,1,1,6.13
41.5,-7.5,2024,1,1,4.71
41.5,-6.875,2024,1,1,4.25
41.5,-6.25,2024,1,1,2.99
42.0,-9.375,2024,1,1,14.5
42.0,-8.75,2024,1,1,10.29
42.0,-8.125,2024,1,1,6.05
42.0,-7.5,2024,1,1,4.46
42.0,-6.875,2024,1,1,2.63
42.0,-6.25,2024,1,1,1.85
37.0,-9.375,2024,1,2,17.89
37.0,-8.75,2024,1,2,17.2
37.0,-8.125,2024,1,2,16.28
37.0,-7.5,2024,1,2,16.5
37.0,-6.875,2024,1,2,15.43
37.0,-6.25,2024,1,2,14.1
37.5,-9.375,2024,1,2,17.71
37.5,-8.75,2024,1,2,15.52
37.5,-8.125,2024,1,2,14.17
37.5,-7.5,2024,1,2,12.67
